window,slice_type,slice_value,metric,value
Pre-Training OOS (2023-07-01 to 2025-03-01),overall,"21d (≈30cal, model target)",mean_ic,-0.039864
Pre-Training OOS (2023-07-01 to 2025-03-01),overall,"21d (≈30cal, model target)",pooled_ic,-0.032736
Pre-Training OOS (2023-07-01 to 2025-03-01),overall,"21d (≈30cal, model target)",ic_ir_tstat,-1.561652
Pre-Training OOS (2023-07-01 to 2025-03-01),overall,5d (contrast),mean_ic,-0.026774
Pre-Training OOS (2023-07-01 to 2025-03-01),overall,5d (contrast),pooled_ic,-0.026648
Pre-Training OOS (2023-07-01 to 2025-03-01),overall,5d (contrast),ic_ir_tstat,-1.067531
Pre-Training OOS (2023-07-01 to 2025-03-01),sector,Capital Goods,pooled_ic,0.091547
Pre-Training OOS (2023-07-01 to 2025-03-01),sector,Capital Goods,mean_ic,
Pre-Training OOS (2023-07-01 to 2025-03-01),sector,Capital Goods,n_obs,86.0
Pre-Training OOS (2023-07-01 to 2025-03-01),sector,Finance,pooled_ic,-0.074839
Pre-Training OOS (2023-07-01 to 2025-03-01),sector,Finance,mean_ic,-0.048747
Pre-Training OOS (2023-07-01 to 2025-03-01),sector,Finance,n_obs,430.0
Pre-Training OOS (2023-07-01 to 2025-03-01),sector,Health Care,pooled_ic,0.112537
Pre-Training OOS (2023-07-01 to 2025-03-01),sector,Health Care,mean_ic,0.112374
Pre-Training OOS (2023-07-01 to 2025-03-01),sector,Health Care,n_obs,602.0
Pre-Training OOS (2023-07-01 to 2025-03-01),sector,Technology,pooled_ic,-0.131583
Pre-Training OOS (2023-07-01 to 2025-03-01),sector,Technology,mean_ic,-0.162766
Pre-Training OOS (2023-07-01 to 2025-03-01),sector,Technology,n_obs,516.0
Pre-Training OOS (2023-07-01 to 2025-03-01),sector,Transportation,pooled_ic,0.025014
Pre-Training OOS (2023-07-01 to 2025-03-01),sector,Transportation,mean_ic,
Pre-Training OOS (2023-07-01 to 2025-03-01),sector,Transportation,n_obs,86.0
Pre-Training OOS (2023-07-01 to 2025-03-01),beta_bucket,low_beta,pooled_ic,-0.010527
Pre-Training OOS (2023-07-01 to 2025-03-01),beta_bucket,low_beta,mean_ic,-0.037695
Pre-Training OOS (2023-07-01 to 2025-03-01),beta_bucket,low_beta,n_obs,574.0
Pre-Training OOS (2023-07-01 to 2025-03-01),beta_bucket,mid_beta,pooled_ic,-0.09062
Pre-Training OOS (2023-07-01 to 2025-03-01),beta_bucket,mid_beta,mean_ic,-0.06418
Pre-Training OOS (2023-07-01 to 2025-03-01),beta_bucket,mid_beta,n_obs,573.0
