window,cadence,strategy,metric,point,boot_mean,ci_lo,ci_hi,ci_excludes_zero
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,candv1,cum,22.508093977403433,22.702292575669595,9.212275259332586,37.40611319428505,True
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,candv1,sharpe,5.280492556047221,5.366285313328213,3.251061311637328,7.963681743157417,True
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,candv1,ir_bh,-0.7499042451092552,-0.5942951624593965,-3.7678295444895777,4.5636679374421645,False
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,production,cum,18.342474480904624,18.667584563837273,1.6059324731116487,38.00170912625778,True
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,production,sharpe,3.2107467851651994,3.2385392246831737,0.5198890717810051,5.878001396543941,True
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,production,ir_bh,-3.0789533417977917,-3.923338950566614,-14.111565279896634,1.3089840352373674,False
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,candv1_minus_production,cum_diff_pp,4.16561949649881,4.034708011832318,-3.417779670866718,11.36082712607016,False
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,candv1,deflated_sharpe_N30,0.7322725642513138,0.29933272953905404,0.997365226830392,0.9504846457228106,True
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,candv1,deflated_sharpe_N20,0.7322725642513138,0.27440253197725145,0.997365226830392,0.9594691778212173,True
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,candv1,deflated_sharpe_N40,0.7322725642513138,0.3160921791151604,0.997365226830392,0.9435979883974455,False
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,candv1,cum,39.26643976479778,43.06155534946218,-13.137878044108755,125.58165594220829,False
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,candv1,sharpe,1.0228632880391912,0.9902698752442298,-0.3371252483274814,2.233986666656296,False
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,candv1,ir_bh,0.4184671054218515,0.4045715629960325,-0.9964589838259015,1.786059637087524,False
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,production,cum,19.60567996530278,23.61109943371991,-28.082678966948546,106.55503870131787,False
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,production,sharpe,0.591578239985464,0.545130727047674,-0.9309630936109267,1.9328486504241227,False
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,production,ir_bh,-0.30526297967841215,-0.2980106277791263,-1.4419469340111082,0.9622280716028929,False
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,candv1_minus_production,cum_diff_pp,19.660759799495,19.450455915742268,-13.53018836391291,58.72440276918567,False
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,candv1,deflated_sharpe_N30,0.14184561664673062,0.062351312378423944,0.9172937510645696,0.7815291287638655,False
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,candv1,deflated_sharpe_N20,0.14184561664673062,0.05715832683947048,0.9172937510645696,0.7962071256838329,False
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,candv1,deflated_sharpe_N40,0.14184561664673062,0.0658423227915499,0.9172937510645696,0.7713286623828639,False
