window,cadence,universe,model_strategy,metric,value
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,production/top-K,net_cum,18.342474480904674
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,production/top-K,net_sharpe,3.2107467851652025
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,production/top-K,max_dd,-2.738448033912937
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,production/top-K,ir_bh,-3.078953341797784
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,production/top-K,ir_spy,1.4323254815033681
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,production/top-K,avg_turnover,0.5883894485133797
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,production/top-K,hit_rate,0.5
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,candv1/top-K,net_cum,22.508093977403444
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,candv1/top-K,net_sharpe,5.2804925560472356
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,candv1/top-K,max_dd,-0.7987745932377645
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,candv1/top-K,ir_bh,-0.7499042451092366
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,candv1/top-K,ir_spy,3.3523116238230406
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,candv1/top-K,avg_turnover,0.5823982162951571
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,candv1/top-K,hit_rate,0.75
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,benchmark/EW-B&H,net_cum,24.183412190984946
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,benchmark/EW-B&H,net_sharpe,4.0493757958168235
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,benchmark/EW-B&H,max_dd,-1.6519872437639023
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,benchmark/EW-B&H,ir_bh,
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,benchmark/EW-B&H,ir_spy,
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,benchmark/EW-B&H,avg_turnover,0.0
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,benchmark/EW-B&H,hit_rate,0.5
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,benchmark/SPY-B&H,net_cum,13.969189842700617
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,benchmark/SPY-B&H,net_sharpe,4.128253136861293
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,benchmark/SPY-B&H,max_dd,-2.232600999927454
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,benchmark/SPY-B&H,ir_bh,-3.456104299863319
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,benchmark/SPY-B&H,ir_spy,
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,benchmark/SPY-B&H,avg_turnover,0.0
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,high_alpha20,benchmark/SPY-B&H,hit_rate,0.75
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,production/top-K,net_cum,19.98196730641279
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,production/top-K,net_sharpe,3.1256731573063954
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,production/top-K,max_dd,-0.02344744395778384
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,production/top-K,ir_bh,-1.7879912033940362
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,production/top-K,ir_spy,3.88095320838646
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,production/top-K,avg_turnover,0.705890064841491
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,production/top-K,hit_rate,0.6666666666666666
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,candv1/top-K,net_cum,18.905427803556975
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,candv1/top-K,net_sharpe,3.2689094184238336
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,candv1/top-K,max_dd,-0.022214087103361795
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,candv1/top-K,ir_bh,-1.732838610231442
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,candv1/top-K,ir_spy,2.290042232899341
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,candv1/top-K,avg_turnover,0.7236503926275509
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,candv1/top-K,hit_rate,0.6666666666666666
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,benchmark/EW-B&H,net_cum,24.94899312404048
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,benchmark/EW-B&H,net_sharpe,2.7792427328846934
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,benchmark/EW-B&H,max_dd,0.0
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,benchmark/EW-B&H,ir_bh,
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,benchmark/EW-B&H,ir_spy,
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,benchmark/EW-B&H,avg_turnover,0.0
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,benchmark/EW-B&H,hit_rate,0.6666666666666666
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,benchmark/SPY-B&H,net_cum,16.57177239891185
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,benchmark/SPY-B&H,net_sharpe,2.866935230871452
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,benchmark/SPY-B&H,max_dd,0.0
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,benchmark/SPY-B&H,ir_bh,-2.609143725921584
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,benchmark/SPY-B&H,ir_spy,
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,benchmark/SPY-B&H,avg_turnover,0.0
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,high_alpha20,benchmark/SPY-B&H,hit_rate,0.6666666666666666
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,production/top-K,net_cum,19.605612758057415
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,production/top-K,net_sharpe,0.5915766969898267
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,production/top-K,max_dd,-17.58022103516735
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,production/top-K,ir_bh,-0.30526593806662977
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,production/top-K,ir_spy,-0.4015479439668148
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,production/top-K,avg_turnover,0.4616654468354269
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,production/top-K,hit_rate,0.47674418604651164
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,candv1/top-K,net_cum,39.266402026529654
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,candv1/top-K,net_sharpe,1.0228623588670023
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,candv1/top-K,max_dd,-15.321680204524627
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,candv1/top-K,ir_bh,0.4184657529404857
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,candv1/top-K,ir_spy,0.12412996408685063
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,candv1/top-K,avg_turnover,0.5296347900013647
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,candv1/top-K,hit_rate,0.5465116279069767
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,benchmark/EW-B&H,net_cum,27.42854134635891
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,benchmark/EW-B&H,net_sharpe,0.7675873583194115
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,benchmark/EW-B&H,max_dd,-17.032434651706883
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,benchmark/EW-B&H,ir_bh,
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,benchmark/EW-B&H,ir_spy,
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,benchmark/EW-B&H,avg_turnover,0.0
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,benchmark/EW-B&H,hit_rate,0.5116279069767442
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,benchmark/SPY-B&H,net_cum,38.267723547117036
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,benchmark/SPY-B&H,net_sharpe,1.602689259712567
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,benchmark/SPY-B&H,max_dd,-9.802899518010118
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,benchmark/SPY-B&H,ir_bh,0.20684175373558653
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,benchmark/SPY-B&H,ir_spy,
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,benchmark/SPY-B&H,avg_turnover,0.0
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,high_alpha20,benchmark/SPY-B&H,hit_rate,0.5930232558139535
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,production/top-K,net_cum,22.821753893400945
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,production/top-K,net_sharpe,0.6448126749115809
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,production/top-K,max_dd,-17.979846866381124
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,production/top-K,ir_bh,-0.1894954448754175
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,production/top-K,ir_spy,-0.19893774576020007
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,production/top-K,avg_turnover,0.701220995165667
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,production/top-K,hit_rate,0.5
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,candv1/top-K,net_cum,16.638305108004115
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,candv1/top-K,net_sharpe,0.5552117017649787
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,candv1/top-K,max_dd,-15.937353266226381
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,candv1/top-K,ir_bh,-0.37843079968423066
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,candv1/top-K,ir_spy,-0.5445355106807893
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,candv1/top-K,avg_turnover,0.751047832500408
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,candv1/top-K,hit_rate,0.5
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,benchmark/EW-B&H,net_cum,26.287455256836967
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,benchmark/EW-B&H,net_sharpe,0.6903541506113486
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,benchmark/EW-B&H,max_dd,-12.454990038635346
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,benchmark/EW-B&H,ir_bh,
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,benchmark/EW-B&H,ir_spy,
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,benchmark/EW-B&H,avg_turnover,0.0
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,benchmark/EW-B&H,hit_rate,0.65
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,benchmark/SPY-B&H,net_cum,32.708783393044776
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,benchmark/SPY-B&H,net_sharpe,1.4581713965804155
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,benchmark/SPY-B&H,max_dd,-9.802899518010108
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,benchmark/SPY-B&H,ir_bh,0.06325116306153243
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,benchmark/SPY-B&H,ir_spy,
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,benchmark/SPY-B&H,avg_turnover,0.0
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,high_alpha20,benchmark/SPY-B&H,hit_rate,0.65
