window,cadence,universe,model_strategy,metric,value
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),production/top-K,net_cum,55.31831931873534
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),production/top-K,net_sharpe,0.9808854108308792
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),production/top-K,max_dd,-21.694879197875522
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),production/top-K,ir_bh,0.27321324142185943
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),production/top-K,ir_spy,0.5480237486155848
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),production/top-K,avg_turnover,0.3876097765720856
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),production/top-K,hit_rate,0.5697674418604651
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),candv1/top-K,net_cum,26.08858883506633
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),candv1/top-K,net_sharpe,0.5974850922040157
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),candv1/top-K,max_dd,-24.6483045425576
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),candv1/top-K,ir_bh,-0.3259207902655848
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),candv1/top-K,ir_spy,-0.003037756688479551
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),candv1/top-K,avg_turnover,0.32929278690960456
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),candv1/top-K,hit_rate,0.5581395348837209
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),benchmark/EW-B&H,net_cum,49.285451211438215
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),benchmark/EW-B&H,net_sharpe,1.4154319875750836
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),benchmark/EW-B&H,max_dd,-17.992296378828538
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),benchmark/EW-B&H,ir_bh,
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),benchmark/EW-B&H,ir_spy,
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),benchmark/EW-B&H,avg_turnover,0.0
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),benchmark/EW-B&H,hit_rate,0.5465116279069767
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),benchmark/SPY-B&H,net_cum,35.48740376576687
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),benchmark/SPY-B&H,net_sharpe,1.505174955265625
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),benchmark/SPY-B&H,max_dd,-10.119937711869675
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),benchmark/SPY-B&H,ir_bh,-0.5270814616437078
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),benchmark/SPY-B&H,ir_spy,
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),benchmark/SPY-B&H,avg_turnover,0.0
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,full(1899),benchmark/SPY-B&H,hit_rate,0.5930232558139535
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,full(1899),production/top-K,net_cum,59.234060608754206
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,full(1899),production/top-K,net_sharpe,5.997114865613736
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,full(1899),production/top-K,max_dd,-4.218381713227009
Post-Training OOS (2026-03-20 to 2026-05-15),weekly,full(1899),production/top-K,ir_bh,5.851957008223465
