window,cadence,transform,metric,value
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,Buy & Hold,net_cum_return_pct,27.428541321988888
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,Buy & Hold,sharpe,0.7675874677952684
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,baseline,n_rebalances,86.0
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,baseline,net_cum_return_pct,12.463613312056005
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,baseline,sharpe,0.42593332931551986
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,baseline,max_drawdown_pct,-17.83153231135572
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,baseline,information_ratio_vs_bh,-0.6599427121408284
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,baseline,avg_turnover,0.41279095275151384
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,sector_neutral (blend=0.0),n_rebalances,86.0
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,sector_neutral (blend=0.0),net_cum_return_pct,31.221798919299925
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,sector_neutral (blend=0.0),sharpe,0.9161856821986962
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,sector_neutral (blend=0.0),max_drawdown_pct,-15.262821638493337
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,sector_neutral (blend=0.0),information_ratio_vs_bh,0.12325499518714188
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,sector_neutral (blend=0.0),avg_turnover,0.45256477272928897
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,sector_neutral (blend=0.5),n_rebalances,86.0
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,sector_neutral (blend=0.5),net_cum_return_pct,34.75324186295713
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,sector_neutral (blend=0.5),sharpe,0.9257695289017148
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,sector_neutral (blend=0.5),max_drawdown_pct,-15.208204436342838
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,sector_neutral (blend=0.5),information_ratio_vs_bh,0.28847051242607963
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,sector_neutral (blend=0.5),avg_turnover,0.4506763982773783
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,beta_adjusted (lam=0.5),n_rebalances,86.0
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,beta_adjusted (lam=0.5),net_cum_return_pct,25.78170765589159
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,beta_adjusted (lam=0.5),sharpe,0.8700057524728454
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,beta_adjusted (lam=0.5),max_drawdown_pct,-18.162531257664842
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,beta_adjusted (lam=0.5),information_ratio_vs_bh,-0.1337235535558569
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,beta_adjusted (lam=0.5),avg_turnover,0.3616500408088872
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,vol_adjusted (lam=0.5),n_rebalances,86.0
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,vol_adjusted (lam=0.5),net_cum_return_pct,26.85474512208488
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,vol_adjusted (lam=0.5),sharpe,0.9335802818957921
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,vol_adjusted (lam=0.5),max_drawdown_pct,-15.807891584858258
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,vol_adjusted (lam=0.5),information_ratio_vs_bh,-0.10197244344581488
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,vol_adjusted (lam=0.5),avg_turnover,0.3147702119859728
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,Buy & Hold,net_cum_return_pct,26.287452654291428
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,Buy & Hold,sharpe,0.6903541344687366
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,baseline,n_rebalances,20.0
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,baseline,net_cum_return_pct,34.09811842521205
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,baseline,sharpe,0.8758652000477876
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,baseline,max_drawdown_pct,-14.609467732196116
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,baseline,information_ratio_vs_bh,0.3080911363856589
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,baseline,avg_turnover,0.7797965859531103
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,sector_neutral (blend=0.0),n_rebalances,20.0
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,sector_neutral (blend=0.0),net_cum_return_pct,21.48876658876945
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,sector_neutral (blend=0.0),sharpe,0.6594058486516451
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,sector_neutral (blend=0.0),max_drawdown_pct,-14.939597449031245
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,sector_neutral (blend=0.0),information_ratio_vs_bh,-0.3197931905746626
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,sector_neutral (blend=0.0),avg_turnover,0.6979769446608348
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,sector_neutral (blend=0.5),n_rebalances,20.0
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,sector_neutral (blend=0.5),net_cum_return_pct,31.133855985239645
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,sector_neutral (blend=0.5),sharpe,0.8575868882616433
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,sector_neutral (blend=0.5),max_drawdown_pct,-14.44631905753411
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,sector_neutral (blend=0.5),information_ratio_vs_bh,0.19195675737917775
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,sector_neutral (blend=0.5),avg_turnover,0.7408334529679269
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,beta_adjusted (lam=0.5),n_rebalances,20.0
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,beta_adjusted (lam=0.5),net_cum_return_pct,23.95558340153388
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,beta_adjusted (lam=0.5),sharpe,0.7946285671398639
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,beta_adjusted (lam=0.5),max_drawdown_pct,-14.217813242942883
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,beta_adjusted (lam=0.5),information_ratio_vs_bh,-0.1847460874865524
