strategy,metric,value
FROZEN,one_month_ret,6.645455942048928
FROZEN,cum_ret,-3.3435816518304047
FROZEN,max_dd,-11.95359681563378
FROZEN,sharpe,-0.22928012789928218
FROZEN,avg_turnover,0.0
FROZEN,one_month_equity,106592.13321407791
FROZEN,end_equity,96608.09013899551
FROZEN,n_rebalances,1.0
WEEKLY,one_month_ret,6.626327443878921
WEEKLY,cum_ret,7.136828211894697
WEEKLY,max_dd,-10.577628563119424
WEEKLY,sharpe,1.0881184120427763
WEEKLY,avg_turnover,0.49407584240978547
WEEKLY,one_month_equity,106573.01428015699
WEEKLY,end_equity,107083.25979778875
WEEKLY,n_rebalances,10.0
MONTHLY,one_month_ret,6.645455942048928
MONTHLY,cum_ret,5.453650885754468
MONTHLY,max_dd,-10.160790595095381
MONTHLY,sharpe,0.828361845853831
MONTHLY,avg_turnover,0.8219759228274486
MONTHLY,one_month_equity,106592.13321407791
MONTHLY,end_equity,105400.92406031159
MONTHLY,n_rebalances,3.0
SPY,one_month_ret,-0.5217014339381376
SPY,cum_ret,3.7041996908132715
SPY,max_dd,-3.633934928104896
SPY,sharpe,1.3934346963941635
SPY,avg_turnover,0.0
SPY,one_month_equity,99478.29856606186
SPY,end_equity,103704.19969081327
SPY,n_rebalances,0.0
