strategy,Date,equity
FROZEN,2026-05-22,99950.0
FROZEN,2026-05-29,101898.69426971828
FROZEN,2026-06-05,94549.14675971515
FROZEN,2026-06-12,106592.13321407791
FROZEN,2026-06-26,106688.26473863517
FROZEN,2026-07-10,106177.82863641735
FROZEN,2026-07-17,96882.95344465021
FROZEN,2026-07-24,98048.20522532905
FROZEN,2026-07-31,93935.17972218274
FROZEN,2026-08-07,96608.09013899551
WEEKLY,2026-05-22,99950.0
WEEKLY,2026-05-29,101884.29215726366
WEEKLY,2026-06-05,96548.90189237204
WEEKLY,2026-06-12,106573.01428015699
WEEKLY,2026-06-26,107179.74148528127
WEEKLY,2026-07-10,103761.00920178235
WEEKLY,2026-07-17,95842.6665360566
WEEKLY,2026-07-24,98483.67493746258
WEEKLY,2026-07-31,97367.70320549875
WEEKLY,2026-08-07,107083.25979778875
MONTHLY,2026-05-22,99950.0
MONTHLY,2026-05-29,101898.69426971828
MONTHLY,2026-06-05,94549.14675971515
MONTHLY,2026-06-12,106592.13321407791
MONTHLY,2026-06-26,106646.84321950702
MONTHLY,2026-07-10,103283.05271858991
MONTHLY,2026-07-17,98332.13808038202
MONTHLY,2026-07-24,101659.76795538858
MONTHLY,2026-07-31,95810.68080369323
MONTHLY,2026-08-07,105400.92406031159
SPY,2026-05-22,100000.0
SPY,2026-05-29,101453.78005570469
SPY,2026-06-05,98915.02243756551
SPY,2026-06-12,99478.29856606186
SPY,2026-06-26,97767.01570637772
SPY,2026-07-10,101248.5914617905
SPY,2026-07-17,99684.82959941443
SPY,2026-07-24,99100.09899672297
SPY,2026-07-31,100186.41899859584
SPY,2026-08-07,103704.19969081327
