window,universe,strategy,metric,value
Post-Training OOS (2026-03-20 to 2026-05-15),high_alpha20,candv1 top-K (un-targeted),net_cum,22.54656770708681
Post-Training OOS (2026-03-20 to 2026-05-15),high_alpha20,candv1 top-K (un-targeted),sharpe,5.864606117916197
Post-Training OOS (2026-03-20 to 2026-05-15),high_alpha20,candv1 top-K (un-targeted),max_dd,-0.7676203975708438
Post-Training OOS (2026-03-20 to 2026-05-15),high_alpha20,candv1 top-K (un-targeted),real_vol,0.2662876273547292
Post-Training OOS (2026-03-20 to 2026-05-15),high_alpha20,candv1 top-K (un-targeted),avg_lev,1.0
Post-Training OOS (2026-03-20 to 2026-05-15),high_alpha20,candv1 top-K (un-targeted),max_lev,1.0
Post-Training OOS (2026-03-20 to 2026-05-15),high_alpha20,candv1 top-K (un-targeted),avg_turnover,0.5758974141623953
Post-Training OOS (2026-03-20 to 2026-05-15),high_alpha20,candv1 top-K vol-targeted @10%,net_cum,18.354777649394173
Post-Training OOS (2026-03-20 to 2026-05-15),high_alpha20,candv1 top-K vol-targeted @10%,sharpe,5.465978411592508
Post-Training OOS (2026-03-20 to 2026-05-15),high_alpha20,candv1 top-K vol-targeted @10%,max_dd,-0.2954670082309922
Post-Training OOS (2026-03-20 to 2026-05-15),high_alpha20,candv1 top-K vol-targeted @10%,real_vol,0.23596390281514196
Post-Training OOS (2026-03-20 to 2026-05-15),high_alpha20,candv1 top-K vol-targeted @10%,avg_lev,0.8227768294839152
Post-Training OOS (2026-03-20 to 2026-05-15),high_alpha20,candv1 top-K vol-targeted @10%,max_lev,1.0
Post-Training OOS (2026-03-20 to 2026-05-15),high_alpha20,candv1 top-K vol-targeted @10%,avg_turnover,0.5874357112064327
Post-Training OOS (2026-03-20 to 2026-05-15),high_alpha20,candv1 top-K vol-targeted @15%,net_cum,19.608899197255436
Post-Training OOS (2026-03-20 to 2026-05-15),high_alpha20,candv1 top-K vol-targeted @15%,sharpe,5.717823895573624
Post-Training OOS (2026-03-20 to 2026-05-15),high_alpha20,candv1 top-K vol-targeted @15%,max_dd,-0.44320051234649166
Post-Training OOS (2026-03-20 to 2026-05-15),high_alpha20,candv1 top-K vol-targeted @15%,real_vol,0.23974788352280244
