iter	RMSE
0	0.2887005309
1	0.2885690786
2	0.2884475086
3	0.2883266455
4	0.288203996
5	0.2880921338
6	0.2879824257
7	0.2878884743
8	0.2877808859
9	0.2876861809
10	0.2875874445
11	0.2874905533
12	0.2873938169
13	0.2872954711
14	0.2872067661
15	0.2871130188
16	0.2870253155
17	0.2869278651
18	0.2868355455
19	0.2867550918
20	0.2866654044
21	0.286582324
22	0.286496038
23	0.2864064547
24	0.286329137
25	0.2862451763
26	0.2861663693
27	0.2860900032
28	0.2860160478
29	0.285944849
30	0.2858765624
31	0.2857944699
32	0.2857100662
33	0.2856284242
34	0.2855554488
35	0.2854909169
36	0.2854324186
37	0.2853600929
38	0.2852952435
39	0.2852273493
40	0.2851580882
41	0.2850982959
42	0.2850346272
43	0.2849806478
44	0.2849143261
45	0.2848512448
46	0.2847569714
47	0.2847019001
48	0.2846334958
49	0.2845875472
50	0.2845239433
51	0.2844562703
52	0.2844056464
53	0.2843426717
54	0.2842839327
55	0.2842327863
56	0.2841824953
57	0.2841335933
58	0.2840707351
59	0.2840095279
60	0.2839510128
61	0.283906114
62	0.2838633083
63	0.2837811768
64	0.283734891
65	0.2836859156
66	0.2836353798
67	0.2835739205
68	0.2835275463
69	0.2834773496
70	0.2834188321
71	0.2833470591
72	0.2832899076
73	0.2832313473
74	0.2831883095
75	0.2831337988
76	0.2830921723
77	0.2830472914
78	0.2829922469
79	0.2829285353
80	0.2828864146
81	0.2828405281
82	0.2827944107
83	0.282735657
84	0.2826733472
85	0.2826296732
86	0.282591205
87	0.2825392872
88	0.2824803633
89	0.2824208007
90	0.2823895392
91	0.2823611468
92	0.2823226021
93	0.2822684203
94	0.2822280628
95	0.2821851882
96	0.2821388492
97	0.2820992976
98	0.2820548644
99	0.2820102033
100	0.2819757675
101	0.2819211608
102	0.2818879563
103	0.2818522621
104	0.2818085029
105	0.2817543274
106	0.2817138369
107	0.2816730656
108	0.2816396424
109	0.281596645
110	0.2815624695
111	0.281522862
112	0.2814911264
113	0.2814521227
114	0.281401023
115	0.2813625819
116	0.2813221477
117	0.2812930887
118	0.2812479381
119	0.2812163312
120	0.2811684589
121	0.2811174331
122	0.281078685
123	0.2810349597
124	0.2809974921
125	0.2809620283
126	0.2809262987
127	0.2808904041
128	0.2808365391
129	0.2807972973
130	0.2807668525
131	0.2807411478
132	0.2806886568
133	0.2806422392
134	0.2806038166
135	0.2805599756
136	0.2805243275
137	0.2804811993
138	0.2804455865
139	0.2804160287
140	0.2803857426
141	0.2803325955
142	0.2803000789
143	0.2802575592
144	0.2802171044
145	0.280173878
146	0.2801463584
147	0.2801113016
148	0.2800792297
149	0.2800454232
150	0.2800141237
151	0.2799918453
152	0.2799571516
153	0.2799327808
154	0.2799035057
155	0.2798662982
156	0.2798413466
157	0.2798166821
158	0.279768067
159	0.2797310555
160	0.2796970806
161	0.27967064
162	0.279641169
163	0.279604196
164	0.2795640858
165	0.2795401316
166	0.279511146
167	0.2794867676
168	0.2794543638
169	0.2794221598
170	0.2793792959
171	0.2793426409
172	0.2792998162
173	0.2792645822
174	0.2792216085
175	0.2791822885
176	0.2791587362
177	0.2791283447
178	0.2790855328
179	0.2790453505
180	0.2790137834
181	0.2789802385
182	0.2789353678
183	0.2789039855
184	0.2788747276
185	0.2788508762
186	0.2788211642
187	0.2787997638
188	0.2787585224
189	0.2787240195
190	0.278691327
191	0.2786534853
192	0.2786165866
193	0.2785764583
194	0.2785490123
195	0.2785152164
196	0.2784814168
197	0.2784466923
198	0.2784227498
199	0.2783747046
200	0.2783368057
201	0.2783098267
202	0.2782867708
203	0.2782610409
204	0.2782184744
205	0.2781858306
206	0.2781389747
207	0.278111686
208	0.2780882045
209	0.2780486157
210	0.2780133592
211	0.2779774208
212	0.277943422
213	0.2779102301
214	0.2778835609
215	0.2778544469
216	0.2778266026
217	0.2777992735
218	0.2777711448
219	0.2777457758
220	0.2777184118
221	0.2776901128
222	0.2776400888
223	0.2776098791
224	0.2775693808
225	0.2775268812
226	0.2774991861
227	0.2774679347
228	0.277437021
229	0.2774094609
230	0.2773816939
231	0.277337137
232	0.2773078757
233	0.2772735083
234	0.2772537592
235	0.2772353693
236	0.277206398
237	0.2771810755
238	0.2771491862
239	0.2771184344
240	0.2770825616
241	0.2770591167
242	0.2770343756
243	0.2770064539
244	0.2769799306
245	0.2769527294
246	0.2769271715
247	0.2768834704
248	0.2768585748
249	0.2768322513
250	0.2767967364
251	0.2767652737
252	0.2767319159
253	0.2767015584
254	0.2766658216
255	0.2766372525
256	0.2766117786
257	0.2765838044
258	0.2765535908
259	0.2765311774
260	0.2764979425
261	0.2764727325
262	0.2764515848
263	0.2764100002
264	0.2763733249
265	0.2763498822
266	0.2763259993
267	0.2762967809
268	0.2762729043
269	0.2762450733
270	0.2762163623
271	0.2761850015
272	0.276149106
273	0.2761134644
274	0.2760956482
275	0.276070746
276	0.2760352547
277	0.2760121873
278	0.2759974135
279	0.2759717522
280	0.2759348714
281	0.2759004791
282	0.2758826824
283	0.2758456261
284	0.2758135592
285	0.275785595
286	0.2757654376
287	0.2757306042
288	0.2756909659
289	0.2756662637
290	0.2756404517
291	0.2756188159
292	0.275584298
293	0.2755627613
294	0.275545096
295	0.2755190716
296	0.2754921857
297	0.2754689753
298	0.2754449885
299	0.2754151566
300	0.2753894694
301	0.2753628884
302	0.2753307906
303	0.2753011261
304	0.2752744597
305	0.2752458873
306	0.2752231977
307	0.2751999793
308	0.2751736762
309	0.2751529411
310	0.2751213396
311	0.2750899707
312	0.2750530687
313	0.2750290376
314	0.2749990715
315	0.2749774385
316	0.2749456446
317	0.2749261266
318	0.2748995316
319	0.2748729668
320	0.2748555022
321	0.2748337459
322	0.2748101894
323	0.2747745558
324	0.274751028
325	0.2747146117
326	0.2746909984
327	0.2746708791
328	0.2746395403
329	0.2746084629
330	0.2745803569
331	0.2745576178
332	0.2745425155
333	0.2745223458
334	0.274490914
335	0.2744677662
336	0.2744492459
337	0.2744214009
338	0.2743921267
339	0.2743646378
340	0.2743401102
341	0.2743102423
342	0.2742857502
343	0.2742622627
344	0.2742248094
345	0.2741907359
346	0.2741630891
347	0.274140505
348	0.2741189921
349	0.2740984045
350	0.2740820934
351	0.2740500257
352	0.2740239804
353	0.273995509
354	0.2739710806
355	0.2739520554
356	0.2739263556
357	0.2738991269
