iter	Passed	Remaining
0	96	96033
1	133	66744
2	191	63517
3	285	71084
4	305	60769
5	334	55415
6	395	56073
7	426	52870
8	460	50701
9	487	48260
10	512	46107
11	534	43983
12	561	42652
13	588	41419
14	616	40456
15	644	39664
16	673	38919
17	702	38351
18	736	38031
19	768	37654
20	800	37310
21	827	36768
22	863	36697
23	906	36859
24	943	36807
25	980	36745
26	1018	36701
27	1054	36593
28	1093	36605
29	1122	36286
30	1159	36232
31	1192	36086
32	1242	36406
33	1273	36179
34	1307	36052
35	1337	35823
36	1386	36086
37	1420	35967
38	1451	35778
39	1490	35771
40	1527	35722
41	1551	35392
42	1583	35239
43	1624	35295
44	1656	35161
45	1698	35232
46	1748	35455
47	1784	35402
48	1825	35427
49	1880	35725
50	1915	35641
51	1950	35561
52	1978	35355
53	2012	35262
54	2049	35210
55	2084	35133
56	2126	35187
57	2157	35043
58	2201	35108
59	2234	35000
60	2278	35073
61	2315	35027
62	2378	35374
63	2426	35489
64	2465	35467
65	2496	35332
66	2532	35262
67	2563	35141
68	2596	35031
69	2625	34882
70	2653	34724
71	2694	34729
72	2728	34650
73	2756	34498
74	2790	34420
75	2825	34348
76	2851	34181
77	2879	34035
78	2913	33965
79	2952	33952
80	2983	33845
81	3015	33755
82	3053	33731
83	3093	33730
84	3130	33704
85	3175	33751
86	3216	33752
87	3246	33650
88	3281	33589
89	3316	33529
90	3347	33435
91	3376	33327
92	3405	33213
93	3440	33156
94	3468	33037
95	3497	32939
96	3528	32846
97	3555	32725
98	3584	32621
99	3619	32576
100	3644	32436
101	3675	32359
102	3702	32244
103	3725	32097
104	3751	31980
105	3787	31947
106	3818	31864
107	3852	31820
108	3891	31810
109	3922	31735
110	3954	31670
111	3985	31599
112	4011	31488
113	4038	31389
114	4069	31316
115	4102	31261
116	4126	31144
117	4168	31155
118	4198	31086
119	4233	31045
120	4271	31032
121	4313	31042
122	4340	30945
123	4369	30871
124	4404	30832
125	4432	30744
126	4468	30717
127	4495	30624
128	4530	30589
129	4564	30545
130	4593	30469
131	4622	30397
132	4653	30332
133	4682	30258
134	4726	30282
135	4756	30219
136	4788	30164
137	4818	30099
138	4854	30069
139	4878	29965
140	4905	29885
141	4942	29866
142	4970	29785
143	4997	29708
144	5031	29666
145	5061	29607
146	5094	29561
147	5132	29544
148	5169	29524
149	5202	29481
150	5231	29414
151	5267	29388
152	5296	29320
153	5323	29245
154	5353	29187
