Date,EUR,JPY,BGN,CZK,DKK,GBP,HUF,PLN,RON,SEK,CHF,ISK,NOK,TRY,AUD,BRL,CAD,CNY,HKD,IDR,ILS,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR
2025-12-03,0.857045,155.365101,1.676208,20.676208,6.401183,0.751286,326.53411,3.626843,4.363816,9.388927,0.800137,127.699691,10.077134,42.444978,1.516969,5.318564,1.394412,7.06385,7.784196,16623.003085,3.22686,90.167552,1464.5012,18.252228,4.122986,1.739116,58.96469,1.294224,31.889784,17.081248
2025-12-04,0.857192,154.765987,1.676496,20.707183,6.402023,0.749614,327.472998,3.627036,4.365249,9.400823,0.800617,127.721584,10.099434,42.44754,1.513544,5.305332,1.397137,7.071661,7.783388,16654.851706,3.236242,89.870564,1471.532659,18.270958,4.112035,1.734613,59.033088,1.295645,32.054689,16.980885
2025-12-05,0.858738,155.225419,1.679519,20.790039,6.413826,0.74942,327.848862,3.634435,4.373379,9.410906,0.804208,127.780163,10.094461,42.513697,1.506741,5.311292,1.393731,7.070245,7.784629,16671.249463,3.231602,89.938171,1472.580507,18.197681,4.111035,1.731043,59.011593,1.29532,31.854873,16.931644
2025-12-08,0.858001,155.546976,1.678078,20.821965,6.408237,0.750408,328.768769,3.629773,4.366624,9.39468,0.805491,127.670528,10.112398,42.567139,1.505706,5.417074,1.380523,7.068039,7.780438,16693.247533,3.207379,90.0429,1466.194766,18.188331,4.112999,1.727156,59.133419,1.296182,31.84985,16.964221
2025-12-09,0.859328,156.363324,1.680674,20.861906,6.418235,0.750623,329.853055,3.635215,4.373722,9.367964,0.806479,127.868007,10.126751,42.58314,1.506574,5.464295,1.384721,7.064278,7.782074,16673.653003,3.213457,89.842743,1468.514222,18.277133,4.114978,1.728195,59.330583,1.296812,31.855289,17.071496
2025-12-10,0.85955,156.713082,1.681107,20.83978,6.420062,0.751332,329.895135,3.631425,4.372959,9.33299,0.804195,127.72907,10.150421,42.600997,1.505329,5.457108,1.384562,7.062489,7.781674,16683.298951,3.231391,89.909575,1469.967337,18.204745,4.118016,1.72993,59.284855,1.296115,31.844593,17.02742
2025-12-11,0.853679,155.583063,1.669626,20.676114,6.376216,0.747055,328.231176,3.608503,4.345143,9.258153,0.796739,126.856753,10.094758,42.616271,1.502561,5.445535,1.379887,7.05805,7.781629,16675.951852,3.212481,90.319703,1471.137101,18.177651,4.110039,1.720591,59.002049,1.293068,31.744921,16.940925
2025-12-12,0.852442,155.988407,1.667207,20.662348,6.367573,0.747336,327.704373,3.599437,4.339272,9.280113,0.795584,126.502429,10.106555,42.570028,1.499787,5.4015,1.375757,7.054727,7.785526,16652.399625,3.205439,90.525531,1477.12045,18.037507,4.100503,1.720996,59.058051,1.29162,31.540363,16.855852
2025-12-15,0.850847,155.126351,1.664086,20.674721,6.356164,0.746958,327.703565,3.591849,4.333277,9.287416,0.795967,126.095465,10.131456,42.698885,1.503361,5.387731,1.375734,7.047052,7.782013,16682.600187,3.211265,90.745342,1465.149324,17.98026,4.092487,1.726368,58.963669,1.288862,31.475368,16.777163
2025-12-16,0.849185,154.611073,1.660836,20.649626,6.34426,0.744226,326.341712,3.584239,4.324813,9.29178,0.794073,125.679348,10.17748,42.714674,1.506199,5.43181,1.376189,7.042289,7.779297,16665.497622,3.223336,90.921365,1473.242188,17.962551,4.085513,1.727751,58.63536,1.288723,31.480129,16.759935
2025-12-17,0.853097,155.587784,1.668487,20.769493,6.374168,0.749445,330.276403,3.591537,4.344054,9.329466,0.79611,126.258318,10.225047,42.723767,1.510322,5.502303,1.379031,7.043934,7.780839,16691.904112,3.223511,90.366405,1479.380652,17.985583,4.088466,1.731275,58.669169,1.291759,31.5151,16.733322
2025-12-18,0.853315,155.772677,1.668914,20.814063,6.375373,0.746309,331.000939,3.588446,4.343971,9.302415,0.794948,126.119976,10.200956,42.733936,1.513269,5.547572,1.379043,7.0413,7.781381,16717.347897,3.217254,90.262394,1477.242086,18.002048,4.086014,1.734278,58.606536,1.29098,31.454902,16.777285
2025-12-19,0.853825,157.231899,1.669911,20.767589,6.379098,0.747951,330.259563,3.595031,4.345628,9.310109,0.795594,125.68306,10.173327,42.80917,1.5146,5.529542,1.379355,7.041069,7.780908,16735.502049,3.213542,89.697746,1478.722678,18.015027,4.077015,1.742657,58.697063,1.292947,31.460041,16.776383
2025-12-22,0.851426,157.318008,1.665219,20.706684,6.360664,0.744317,330.251171,3.587739,4.332056,9.243082,0.793189,125.670498,10.121328,42.809281,1.504215,5.529417,1.376586,7.037037,7.778799,16775.998297,3.202895,89.646658,1480.391656,18.002384,4.077991,1.726948,58.716901,1.289911,31.150277,16.699276
2025-12-23,0.848464,156.024096,1.659426,20.6355,6.338198,0.740624,331.774987,3.590701,4.318174,9.180384,0.787969,125.572713,10.053453,42.829883,1.493891,5.587222,1.3701,7.028084,7.778211,16786.865773,3.197777,89.553623,1480.875615,17.944086,4.063974,1.712965,58.824029,1.285678,31.109791,16.634482
2025-12-24,0.848392,155.959956,1.659286,20.591329,6.336981,0.740562,330.474251,3.574701,4.318232,9.167303,0.787647,125.56206,10.014423,42.849919,1.492068,5.520998,1.368287,7.014423,7.77594,16747.501485,3.182659,89.739119,1448.239586,17.90235,4.044965,1.713498,58.767286,1.284042,31.045219,16.636209
2025-12-25,0.848392,155.959956,1.659286,20.591329,6.336981,0.740562,330.474251,3.574701,4.318232,9.167303,0.787647,125.56206,10.014423,42.849919,1.492068,5.520998,1.368287,7.014423,7.77594,16747.501485,3.182659,89.739119,1448.239586,17.90235,4.044965,1.713498,58.767286,1.284042,31.045219,16.636209
2025-12-26,0.848392,155.959956,1.659286,20.591329,6.336981,0.740562,330.474251,3.574701,4.318232,9.167303,0.787647,125.56206,10.014423,42.849919,1.492068,5.520998,1.368287,7.014423,7.77594,16747.501485,3.182659,89.739119,1448.239586,17.90235,4.044965,1.713498,58.767286,1.284042,31.045219,16.636209
2025-12-29,0.849907,156.357301,1.662247,20.63658,6.348122,0.741628,329.338773,3.59468,4.330019,9.192589,0.789818,125.616182,10.051844,42.935492,1.494391,5.570712,1.368859,7.006459,7.77384,16771.052184,3.196073,89.899711,1437.149414,17.932772,4.060003,1.724885,58.864525,1.285229,31.439742,16.655618
2025-12-30,0.850557,156.060219,1.66352,20.630263,6.352726,0.741005,328.272518,3.59471,4.335205,9.201327,0.790423,125.202007,10.058688,42.92311,1.492132,5.522582,1.369737,6.99294,7.783533,16765.348303,3.184061,89.80182,1443.948286,17.964447,4.047036,1.72476,58.829633,1.283916,31.415327,16.634431
2025-12-31,0.851064,156.67234,1.664511,20.627234,6.356511,0.742638,327.787234,3.59234,4.337702,9.209787,0.792681,125.276596,10.079149,42.964936,1.496255,5.477787,1.369191,7.001021,7.78417,16715.6,3.189021,89.869362,1444.204255,17.972766,4.058043,1.734468,58.949787,1.285532,31.674894,16.548
2026-01-01,0.851064,156.67234,1.664511,20.627234,6.356511,0.742638,327.787234,3.59234,4.337702,9.209787,0.792681,125.276596,10.079149,42.964936,1.496255,5.477787,1.369191,7.001021,7.78417,16715.6,3.189021,89.869362,1444.204255,17.972766,4.058043,1.734468,58.949787,1.285532,31.674894,16.548
2026-01-02,0.85317,156.932002,,20.62708,6.372664,0.743879,327.258766,3.593806,4.342206,9.221483,0.793106,125.757188,10.066121,43.028069,1.493729,5.438359,1.373347,6.993687,7.791912,16716.201689,3.174985,90.196229,1444.868185,17.939937,4.054006,1.733385,58.847368,1.286324,31.389813,16.514035
2026-01-05,0.857339,156.83299,,20.743313,6.403892,0.743827,329.689643,3.616084,4.361711,9.248114,0.796382,126.371742,10.099023,43.04201,1.499657,5.441529,1.379201,6.985425,7.786523,16739.497599,3.159294,90.291495,1449.279835,18.009859,4.072531,1.740055,59.079218,1.287551,31.375171,16.483882
2026-01-06,0.85419,156.43632,,20.667122,6.383104,0.739985,328.888699,3.596566,4.347057,9.195353,0.793286,125.736739,10.018365,43.042112,1.488169,5.398565,1.377723,6.984368,7.787819,16770.000854,3.162638,90.151619,1448.646109,17.957376,4.04698,1.728197,59.209874,1.279918,31.27018,16.396259
2026-01-07,0.855871,156.547415,,20.789113,6.395498,0.741527,329.493324,3.607326,4.355101,9.189062,0.796303,125.984252,10.063762,43.042708,1.486392,5.391561,1.380948,6.991185,7.786375,16768.247176,3.176566,89.852362,1447.680589,17.981,4.058028,1.72886,59.316159,1.28141,31.330024,16.454296
2026-01-08,0.856531,156.719486,,20.781156,6.4,0.744069,329.550321,3.605396,4.358287,9.221413,0.797602,126.08137,10.101499,43.048223,1.493191,5.379957,1.386124,6.981842,7.792805,16835.845824,3.169422,89.925482,1452.308351,17.96394,4.062527,1.739872,59.163169,1.284368,31.540043,16.514861
